key,excel_cell,description,our_value,excel_raw,excel_scaled,drift,verdict
pv_value,E19,PV value (Solarstrom),1211176.171964698,1205268.2357095385,1205268.2357095385,0.0048778504662753165,PASS_LOOSE (<1%)
pv_tages,E20,PV Tagesladungen,399.1159421930409,396.9713027743458,396.9713027743458,0.00537347470239056,PASS_LOOSE (<1%)
pv_pct,E21,PV % share (× 100),62.38577500983147,0.6227042423688702,62.270424236887024,0.001848991583838901,PASS_LOOSE (<1%)
wind_value,E25,Wind value,706236.3411426758,706236.586259135,706236.586259135,3.470741448047943e-07,PASS_COSMETIC
wind_tages,E26,Wind Tagesladungen,186.35341930662545,186.1192117194711,186.1192117194711,0.0012567925398190827,PASS_LOOSE (<1%)
wind_pct,E27,Wind % share (× 100),29.12888526901502,0.29195365487148367,29.19536548714837,0.002277081208749181,PASS_LOOSE (<1%)
hydro_value,E31,Hydro/Laufwasser value,19492.5192579,19509.000000000004,19509.000000000004,0.0008447763647549404,PASS
hydro_tages,E32,Hydro Tagesladungen,5.143458928681869,5.141336164228204,5.141336164228204,0.0004127114618972527,PASS
hydro_pct,E33,Hydro % share (× 100),0.803973576534951,0.008064894914404618,0.8064894914404618,0.0031195879577018202,PASS_LOOSE (<1%)
bio_value,E13,Biomass / Fossile Brennstoffe,4525.0,4525,4525,0.0,EXACT
bio_tages,E14,Bio Tagesladungen,1.491112259493947,0.0023378502919396554,0.0023378502919396554,0.9984321433365902,DRIFT
bio_pct,E15,Bio % share,0.2330756156320052,0,0.0,1.0,DRIFT
m_total,H25,Wind+Solar+konstant (M),1936905.032365274,1931013.8219686735,1931013.8219686735,0.0030415587228901472,PASS_LOOSE (<1%)
ely_branch_value,H28,Ely branch value (overshoot O),385933.3286830357,385933.813936009,385933.813936009,1.2573476482498483e-06,PASS_COSMETIC
n_value,J25,Stromverbr. J-branch,1550971.7036822382,1545080.0080326644,1545080.0080326644,0.003798712533301573,PASS_LOOSE (<1%)
flow_n_value_tages,J26,J-branch Tagesladungen,511.08793845056323,508.8928800303481,508.8928800303481,0.004294874238022014,PASS_LOOSE (<1%)
n_output_branch,L28,Einspeich P (= n_output_branch),406403.3340795594,406108.37619771546,406108.37619771546,0.0007257762353549489,PASS
n_input_branch,L23,Abregelung input (AbregCopy),195890.29136753705,189627.90454725613,189627.90454725613,0.03196884734083727,DRIFT
flow_q_abregelung_tages,L24,Abregelung Tagesladungen,64.55125192795045,62.45650061969672,62.45650061969672,0.032450978806604795,DRIFT
n_to_right,N25,Direktverbrauch (N),948678.0782351417,949343.257555285,949343.257555285,0.0007006731388773424,PASS
flow_n_to_right_tages,N26,Direktverbr. Tagesladungen,312.6155829325033,312.67896934984356,312.67896934984356,0.00020272043710540722,PASS
final_stromnetz,S25,Final Stromnetz (VerbrauchStrom),1107646.315348871,1108198.257555285,1108198.257555285,0.0004980536674291025,PASS
flow_final_tages,S26,Final Tagesladungen (365),365.0,365,365,0.0,EXACT
h2_offer,H36,H2 offer (=Einspeich sum capacity),250856.6636439732,250856.97905840588,250856.97905840588,1.25734764826145e-06,PASS_COSMETIC
gas_storage,L36,Gas storage (P sum),264162.1671517136,263970.44452851504,263970.44452851504,0.000725776235354982,PASS
flow_gas_storage_tages,L37,Gas storage Tagesladungen,87.04871733357113,86.9422159762793,86.9422159762793,0.0012234684272683701,PASS_LOOSE (<1%)
t_value,Q36,T value (Ausspeich Rückverstr),264005.53352774266,263811.17058561975,263811.17058561975,0.0007362078344561976,PASS
flow_t_value_tages,Q37,T Tagesladungen,86.99710223590218,86.88975696115233,86.88975696115233,0.0012338948308734236,PASS_LOOSE (<1%)
storage_capacity,M44,Speicherkapazität,242831.11,242467,242467,0.001499437201435953,PASS_LOOSE (<1%)
flow_storage_capacity_tages,M45,Speicherkapazität Tages,80.01954588011561,79.859767326502,79.859767326502,0.0019967440686679038,PASS_LOOSE (<1%)
abgleichdifferenz,Q44,Abgleichdifferenz,156.63362397096353,159.27394289529184,159.27394289529184,0.016577218321669116,DRIFT
